==28144== NVPROF is profiling process 28144, command: /afs/andrew.cmu.edu/usr16/kflorend/private/15418/project/15418-asst2/scan/cudaScan -m scan -i random -n 100
==28144== Profiling application: /afs/andrew.cmu.edu/usr16/kflorend/private/15418/project/15418-asst2/scan/cudaScan -m scan -i random -n 100
==28144== Profiling result:
"Start","Duration","Name","Correlation_ID"
ms,ms,,
323.933380,0.003239,"cudaLaunchKernel",163
323.936904,0.002209,"cudaLaunchKernel",164
323.939340,0.002294,"cudaLaunchKernel",165
323.941857,0.002010,"cudaLaunchKernel",166
323.944080,0.001991,"cudaLaunchKernel",167
323.946293,0.001959,"cudaLaunchKernel",168
323.948480,0.002090,"cudaLaunchKernel",169
323.950703,0.019313,"cudaThreadSynchronize",170
323.970230,0.002316,"cudaLaunchKernel",171
323.972660,0.006427,"cudaThreadSynchronize",172
323.979326,0.002175,"cudaLaunchKernel",173
323.981705,0.002010,"cudaLaunchKernel",174
323.983916,0.002278,"cudaLaunchKernel",175
323.986402,0.002147,"cudaLaunchKernel",176
323.988759,0.002017,"cudaLaunchKernel",177
323.990967,0.001917,"cudaLaunchKernel",178
323.993074,0.001977,"cudaLaunchKernel",179
323.995170,0.023495,"cudaThreadSynchronize",180
324.018802,0.000759,"cudaDeviceSynchronize",181
324.019672,0.010519,"cudaMemcpy",182
